task.i,learner.i,resampling.i,iteration,start.time,end.time,process,classif.auc,classif.acc,classif.logloss,ROC_AUM,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups
5,1,1,2,2025-07-22T19:53:33.770535Z,2025-07-22T20:46:38.445765Z,3,0.961260404806387,0.45603203737694,0.693279241217852,0.000178278423845768,MNIST_seed1_prop0.01,conv_AUM,same_other_sizes_cv,unbalanced,other,23721,1,1,23721
5,1,1,4,2025-07-22T19:53:49.073783Z,2025-07-22T20:46:33.299853Z,6,0.981189231720343,0.0103488566182607,0.713345861897884,0.000219021530938335,MNIST_seed1_prop0.01,conv_AUM,same_other_sizes_cv,unbalanced,other,23721,2,1,23721
5,1,1,6,2025-07-22T19:54:11.072216Z,2025-07-22T20:54:58.028727Z,1,0.960075503746103,0.00968927497494153,0.741776220209727,0.000345964450389147,MNIST_seed1_prop0.01,conv_AUM,same_other_sizes_cv,unbalanced,other,23721,3,1,23721
5,1,1,7,2025-07-22T19:54:11.089176Z,2025-07-22T20:53:45.336866Z,2,0.97481372104803,0.5,0.68705350315174,0.000205838688998483,MNIST_seed1_prop0.01,conv_AUM,same_other_sizes_cv,balanced,same,23721,1,1,23721
5,1,1,9,2025-07-22T19:58:14.139714Z,2025-07-22T20:59:21.971195Z,14,0.977035893746321,0.501686340640809,0.687324998153642,0.000156291644088924,MNIST_seed1_prop0.01,conv_AUM,same_other_sizes_cv,balanced,same,23721,2,1,23721
5,1,1,11,2025-07-22T19:58:19.955830Z,2025-07-22T20:49:05.113884Z,11,0.976404729821241,0.5,0.687984840971037,0.000161340751219541,MNIST_seed1_prop0.01,conv_AUM,same_other_sizes_cv,balanced,same,23721,3,1,23721
5,2,1,2,2025-07-22T19:58:20.007413Z,2025-07-22T20:04:36.454866Z,15,0.929233498778506,0.59486067078258,0.690844693466435,0.00162742100656033,MNIST_seed1_prop0.01,linear_AUM,same_other_sizes_cv,unbalanced,other,23721,1,1,23721
5,2,1,4,2025-07-22T19:58:20.724131Z,2025-07-22T20:04:20.103190Z,19,0.92260720508065,0.936237689868135,0.662203865690939,0.00179633009247482,MNIST_seed1_prop0.01,linear_AUM,same_other_sizes_cv,unbalanced,other,23721,2,1,23721
5,2,1,6,2025-07-22T19:58:34.001344Z,2025-07-22T20:04:25.725593Z,13,0.890004769882266,0.449381891079185,0.69819462479826,0.0028520398773253,MNIST_seed1_prop0.01,linear_AUM,same_other_sizes_cv,unbalanced,other,23721,3,1,23721
5,2,1,7,2025-07-22T19:58:34.267312Z,2025-07-22T20:05:31.390968Z,18,0.933459560680747,0.7972016183412,0.671397164233204,0.00149837043136358,MNIST_seed1_prop0.01,linear_AUM,same_other_sizes_cv,balanced,same,23721,1,1,23721
5,2,1,9,2025-07-22T19:58:35.100474Z,2025-07-22T20:04:53.031013Z,16,0.936205804651797,0.783220910623946,0.67130712149807,0.00155119132250547,MNIST_seed1_prop0.01,linear_AUM,same_other_sizes_cv,balanced,same,23721,2,1,23721
5,2,1,11,2025-07-22T19:58:51.165729Z,2025-07-22T20:04:55.505945Z,17,0.908116882405707,0.736549165120594,0.673276802591829,0.00191336311399937,MNIST_seed1_prop0.01,linear_AUM,same_other_sizes_cv,balanced,same,23721,3,1,23721
5,3,1,2,2025-07-22T20:02:49.939161Z,2025-07-22T20:55:41.754928Z,23,0.971645866265769,0.93942933422326,0.181345130896253,0.0342840626835823,MNIST_seed1_prop0.01,conv_logistic,same_other_sizes_cv,unbalanced,other,23721,1,1,23721
